2299587 the	at	169011
1123977 and	cc	168844
145588	home	nn1	61963
145508	hand	nn1	51786
144445	among	ii	64067
144369	however	rr	57624
144209	york	np1	52132
143707	how	rgq	66411
143473	d	vhd	27367
143471	point	nn1	65122
142462	see	vv0	61426
141835	yet	rr	68209
141478	of	ii33	66623
140601	social	jj	33339
140458	ever	rr	64789
139831	business	nn1	51397
139813	week	nnt1	61926
138969	long	jj	65897
136905	company	nn1	40413
135548	kind	nn1	60510
135373	john	np1	46593
135303	father	nn1	34974
135293	states	np1	42465
134295	young	jj	53505
133606	power	nn1	46843
133305	united	np1	41582
133301	almost	rr	66472
132948	information	nn1	44271
132665	eyes	nn2	35274
132192	nothing	pn1	57012
132172	later	rrr	63609
132127	right	jj	57649
132044	done	vdn	63063
131756	white	jj	44053
131684	five	mc	67048
131098	health	nn1	33513
130884	best	jjt	66205
130654	ago	ra	68222
130528	got	vvn	47902
130314	side	nn1	55786
130021	go	vv0	58760
129855	real	jj	61379
129661	thought	vvd	48537
129305	come	vvi	61746
129079	several	da2	65352
129052	end	nn1	64557
128910	program	nn1	41802
128887	find	vvi	65010
128708	much	rr	67788
128175	want	vvi	55737
127289	city	nn1	41628
126755	million	m	38264
126234	public	jj	48656
126182	problem	nn1	54890
125721	told	vvd	47933
125605	anything	pn1	56536
125544	knew	vvd	43893
124963	war	nn1	32830
124877	together	rl	59834
124857	question	nn1	50274
124758	story	nn1	48128
124467	such	ii21	52333
124466	as	ii22	52331
124365	back	nn1	51560
123242	qwq	nnu	8030
123004	trying	vvg	59054
122844	only	jj	66672
121954	within	ii	55856
121680	need	vv0	56614
121489	sure	jj	56176
121461	research	nn1	35147
120494	already	rr	61863
120075	education	nn1	28057
119631	looking	vvg	55715
119462	a	rr21	57515
118585	help	vvi	61179
118510	having	vhg	62226
118473	called	vvn	63610
118428	tell	vvi	48491
118401	child	nn1	34202
117150	making	vvg	65574
117019	getting	vvg	60037
116623	job	nn1	50129
116499	morning	nnt1	45934
116485	seen	vvn	57431
115897	history	nn1	48388
115891	mean	vv0	34869
115744	face	nn1	37844
115628	whether	csw	57585
115508	least	rr22	62803
115229	large	jj	52929
115059	although	cs	53651
113788	maybe	rr	44127
113774	study	nn1	29361
113692	wanted	vvd	48880
113545	himself	ppx1	43055
113499	others	nn2	58269
113363	saw	vvd	46155
113233	america	np1	46402
113123	around	rp	52261
113002	asked	vvd	42681
112831	washington	np1	44156
112480	before	cs	58670
112329	news	nn1	44371
112146	community	nn1	36860
111535	found	vvd	53649
111320	had	vhn	58799
111190	yeah	uh	24103
111135	actually	rr	53180
110826	both	rr	57789
110819	enough	rr	57104
110649	across	ii	51152
110382	toward	ii	45897
109535	law	nn1	34425
109515	area	nn1	47982
109376	air	nn1	41667
109045	including	ii	61002
108931	second	md	55577
108909	oh	uh	33923
108639	everything	pn1	53720
108512	team	nn1	33191
108301	door	nn1	30560
108116	body	nn1	38334
108033	book	nn1	37083
107588	music	nn1	24224
107431	though	cs	52544
107363	for	rex21	48900
106898	office	nn1	45358
106151	human	jj	37347
106106	began	vvd	51003
105859	look	vv0	49253
105627	too	rr	52484
105376	months	nnt2	54587
105159	if	cs22	45621
104911	person	nn1	47837
104814	used	vvn	47997
104783	off	ii	53358
104503	able	jk	56285
104403	no	uh	32702
104094	probably	rr	54483
104060	parents	nn2	32429
103797	give	vvi	56227
103523	car	nn1	30528
103289	name	nn1	46923
102386	game	nn1	31206
102279	home	rl	46853
102268	come	vv0	50901
101360	minutes	nnt2	38844
100619	course	rr22	48518
100616	makes	vvz	56129
100615	of	rr21	48519
100521	saying	vvg	45031
100498	line	nn1	49465
100353	problems	nn2	44951
100051	coming	vvg	49716
100031	kids	nn2	32624
99953	someone	pn1	46674
99119	am	vbm	39564
99027	behind	ii	46708
98918	using	vvg	48114
98577	s	vhz	43244
98058	once	rr	55624
98026	food	nn1	34857
97714	local	jj	42932
97590	keep	vvi	55922
97430	bush	np1	20560
97022	care	nn1	32378
96696	members	nn2	40720
96658	process	nn1	40080
96213	make	vv0	56688
95971	sense	nn1	47672
95907	looked	vvd	29124
95690	use	nn1	37573
95677	working	vvg	52347
95327	let	vv0	40976
95260	former	da	46893
94760	take	vv0	53301
94660	six	mc	53801
94504	moment	nn1	39306
93822	economic	jj	26727
92911	age	nn1	41528
91911	idea	nn1	48211
91827	else	rr	47666
91200	look	vvi	48087
91006	major	jj	48378
90574	police	nn2	23951
90425	perhaps	rr	46397
90342	felt	vvd	36035
90246	hours	nnt2	45263
89948	long	rr	51702
89910	party	nn1	29787
89866	early	jj	47595
89766	talking	vvg	40264
89524	bad	jj	46078
89106	words	nn2	41186
89030	hands	nn2	36631
89010	military	jj	22873
88970	college	nn1	33387
88962	work	vvi	50252
88715	themselves	ppx2	47820
88711	possible	jj	49230
88476	sometimes	rt	47805
88183	better	jjr	52957
87814	according	ii21	46355
87555	whole	jj	47469
87258	like	vvi	43330
87199	art	nn1	21996
86969	development	nn1	29716
86843	taking	vvg	51903
86757	death	nn1	34858
86754	given	vvn	49520
86652	service	nn1	35180
86633	comes	vvz	50659
86451	issue	nn1	40187
86325	federal	jj	29135
86237	dr	nnb	20197
85975	taken	vvn	50014
85634	international	jj	31742
85564	finally	rr	46415
85561	as	cs21	31895
85541	free	jj	41084
85517	control	nn1	37168
85477	that	cs22	48447
84915	in	rr21	45775
84703	friends	nn2	41036
84117	groups	nn2	31697
83829	far	rr	50601
83488	clinton	np1	16460
83434	policy	nn1	26550
83176	right	nn1	42473
82989	even	cs21	49927
82897	thank	vv0	29612
82817	feet	nn2	32845
82564	seems	vvz	46107
82419	became	vvd	43816
82407	use	vvi	47091
82313	true	jj	45113
82118	better	rrr	48285
81615	example	rex22	38925
81597	found	vvn	43516
81418	voice	nn1	27850
81023	data	nn	20707
80898	started	vvd	42644
80629	gave	vvd	43273
80529	market	nn1	28055
80331	because	ii21	48772
80147	especially	rr	48042
79996	level	nn1	37629
79977	wife	nn1	33118
79452	full	jj	46571
79379	heart	nn1	36736
78947	known	vvn	47725
78940	special	jj	41663
78936	hard	jj	47518
78308	everyone	pn1	43226
77907	whose	ddqge	46259
77633	role	nn1	36353
77281	experience	nn1	37552
77248	issues	nn2	33519
77025	questions	nn2	37103
76801	oil	nn1	19210
76643	gone	vvn	40127
76593	turned	vvd	34522
76563	season	nnt1	25616
76460	talk	vvi	35926
76250	seemed	vvd	32613
75422	david	np1	29081
75210	reason	nn1	45018
75157	based	vvn	40036
75033	society	nn1	29790
75033	programs	nn2	25136
74953	show	nn1	27787
74862	interest	nn1	40353
74858	court	nn1	21796
74837	either	rr	47803
74480	companies	nn2	23705
74275	mind	nn1	38148
74196	director	nn1	38459
74173	half	db	44070
73976	itself	ppx1	39969
73914	recent	jj	45388
73411	looks	vvz	30366
73213	town	nn1	31751
73108	center	nn1	38289
72991	results	nn2	33046
71900	let	vm21	29973
71900	s	vm22	29968
71709	believe	vv0	39029
71696	san	np1	25271
71675	california	np1	30406
71663	americans	nn2	29856
71612	north	nd1	32875
71506	space	nn1	27806
71293	personal	jj	37081
71070	word	nn1	35945
70816	student	nn1	21142
70786	son	nn1	29092
70644	hair	nn1	23616
70578	support	nn1	32172
70563	class	nn1	27612
70516	as	ii31	41411
70346	third	md	40611
70155	open	jj	36688
70083	schools	nn2	20757
70011	ways	nn2	41715
69889	certain	jj	40168
69864	studies	nn2	23858
69802	love	nn1	28598
69773	table	nn1	27468
69613	wo	vm	39554
69608	weeks	nnt2	41188
69525	simply	rr	41833
69436	george	np1	26010
69405	red	jj	30984
69328	field	nn1	31846
68970	feel	vv0	39420
68841	iraq	np1	12105
68837	guy	nn1	27165
68727	clear	jj	40911
68542	security	nn1	23910
68381	strong	jj	40893
68056	evidence	nn1	28353
68053	officials	nn2	27919
67992	teachers	nn2	12683
67965	nearly	rr	42199
67930	plan	nn1	29161
67900	phone	nn1	26230
67625	left	vvd	37840
67614	attention	nn1	39647
67613	couple	nn1	37377
67546	goes	vvz	40360
67396	put	vvi	42470
67374	takes	vvz	39654
67238	light	nn1	28053
67186	services	nn2	25131
67042	rights	nn2	23541
67022	girl	nn1	22497
66903	boy	nn1	24017
66875	current	jj	38690
66642	difficult	jj	40854
66587	ground	nn1	32851
65820	available	jj	35615
65743	nation	nn1	32410
65669	change	nn1	32900
65654	energy	nn1	22821
65620	likely	jj	34923
65603	feel	vvi	35862
65499	congress	nn1	21367
65251	month	nnt1	39842
65094	less	dar	41716
64885	friend	nn1	31877
64365	industry	nn1	24953
64281	like	vv0	35325
64280	all	rr21	26577
63785	well	ii32	38105
63784	as	ii33	38104
63691	view	nn1	33850
63673	from	ii22	38924
63530	low	jj	32971
63438	administration	nn1	24960
63351	south	nd1	29456
63305	higher	jjr	30014
63257	force	nn1	28607
63148	areas	nn2	29445
63112	single	jj	37976
62950	summer	nnt1	33060
62832	myself	ppx1	28678
62720	late	jj	38562
62712	look	nn1	33252
62680	medical	jj	22588
62494	relationship	nn1	26035
62274	per	ii	25590
62154	certainly	rr	35350
61918	quite	rg	36733
61828	position	nn1	32663
61721	significant	jj	26584
61669	land	nn1	23704
61650	wrong	jj	33796
61636	all	rr	38811
61534	ask	vvi	32618
61187	little	rr22	34396
61041	cases	nn2	27513
61021	west	nd1	29105
60995	anyone	pn1	37516
60963	action	nn1	30416
60937	similar	jj	38224
60489	private	jj	29754
60447	paper	nn1	27381
60407	of	rr22	27513
60404	building	nn1	27704
60243	hear	vvi	30871
60210	road	nn1	27894
60108	technology	nn1	20945
60042	situation	nn1	32473
60019	if	csw	38345
60005	foreign	jj	22179
59851	nature	nn1	28247
59845	report	nn1	27709
59543	defense	nn1	22503
59536	understand	vvi	33983
59432	upon	ii	29470
59318	past	jj	38845
59294	left	vvn	37345
59280	campaign	nn1	20752
59179	countries	nn2	19686
59131	up	ii21	37723
59007	model	nn1	22125
58997	wants	vvz	34805
58990	quickly	rr	36696
58981	michael	np1	24525
58960	floor	nn1	25140
58928	thus	rr	23023
58776	soon	rr	37336
58618	rest	nn1	37427
58465	recently	rr	41069
58450	blood	nn1	21010
58392	workers	nn2	19407
58383	p.m	ra	11427
58362	gets	vvz	35210
58343	effect	nn1	30564
58291	economy	nn1	20393
58287	common	jj	32582
58185	husband	nn1	23871
58076	before	rt	34989
58047	than	ii22	35575
57859	white	np1	20709
57735	less	rgr	34980
57728	happened	vvd	30465
57722	dead	jj	25856
57721	culture	nn1	21298
57703	bill	np1	21382
57662	said	vvn	32758
57655	natural	jj	27659
57449	general	jj	30501
57403	future	nn1	32968
56987	decision	nn1	28429
56973	series	nn	30489
56895	right	rr22	20966
56839	period	nn1	30124
56828	tax	nn1	14881
56823	believe	vvi	31640
56759	baby	nn1	20368
56602	near	ii	33581
56569	century	nnt1	25887
56330	top	nn1	32667
56326	play	vvi	30897
56273	short	jj	36516
56243	easy	jj	37467
56075	matter	nn1	33117
56034	states	nn2	21096
55989	become	vvi	37764
55880	church	nn1	15125
55770	lives	nn2	32444
55717	each	ppx221	29567
55715	other	ppx222	29564
55602	try	vvi	35060
55577	usually	rr	35752
55548	bed	nn1	20384
55469	exactly	rr	33344
55464	hour	nnt1	31288
55437	performance	nn1	20862
55353	tell	vv0	29100
55283	east	nd1	26650
55275	one	pn122	32715
55272	ok	rr	16047
55132	herself	ppx1	20636
54832	form	nn1	29749
54769	central	jj	27790
54757	physical	jj	21523
54547	practice	nn1	25936
54531	media	nn	23070
54496	seven	mc	35048
54355	fire	nn1	21867
54274	drug	nn1	15222
54259	away	ii21	33696
54229	population	nn1	21674
54215	teacher	nn1	15981
54191	families	nn2	24501
54178	pay	vvi	30585
54128	books	nn2	24827
54118	bring	vvi	35590
54054	robert	np1	24889
54015	site	nn1	23818
53995	tried	vvd	29843
53952	project	nn1	22900
53936	figure	nn1	20129
53815	means	vvz	35491
53792	despite	ii	35115
53613	everybody	pn1	28372
53557	chance	nn1	34556
53447	computer	nn1	19146
53389	environmental	jj	12599
53363	miles	nnu2	25543
53318	to	ii33	30706
53290	pretty	rg	31650
53226	as	rr21	34940
53220	left	jj	27803
53214	eight	mc	34784
53062	ready	jj	32906
53009	beyond	ii	33690
53002	come	vvn	34252
52957	film	nn1	15556
52794	growth	nn1	20274
52684	record	nn1	27690
52595	use	vv0	31145
52569	texas	np1	19985
52497	knowledge	nn1	21098
52485	rate	nn1	23376
52464	hot	jj	27822
52444	whatever	ddqv	32556
52393	particularly	rr	32803
52381	serious	jj	33188
52361	training	nn1	21464
52220	changes	nn2	26650
52204	find	vv0	36420
52147	patients	nn2	10061
52122	though	cs22	32110
52043	language	nn1	20203
52037	wrote	vvd	27668
52024	knows	vvz	31548
51815	board	nn1	22932
51743	systems	nn2	19641
51719	daughter	nn1	22181
51652	fine	jj	30062
51502	staff	nn	25446
51454	along	ii	28809
51429	call	vv0	30796
51298	financial	jj	22315
51276	result	nn1	32377
51212	running	vvg	31338
51114	behavior	nn1	18262
51101	poor	jj	27343
51060	tv	nn1	23507
50854	price	nn1	23027
50847	games	nn2	17916
50805	playing	vvg	28767
50700	tonight	rt	17153
50619	as	cs31	33378
50615	as	cs33	33377
50331	forward	rl	28163
50263	television	nn1	24183
50258	street	nn1	23656
50239	arms	nn2	21653
50232	leaders	nn2	22715
50173	players	nn2	15671
50030	course	nn1	25010
50014	happy	jj	28853
49848	risk	nn1	20758
49810	blue	jj	24148
49754	leave	vvi	30054
49600	let	vvi	30188
49539	give	vv0	32541
49504	cup	nn1	11859
49370	girls	nn2	16523
49261	democratic	jj	16828
49190	put	vv0	32107
49136	movie	nn1	18082
49039	success	nn1	28713
48876	treatment	nn1	17515
48846	value	nn1	23592
48775	provide	vvi	28857
48669	need	vvi	31271
48631	heard	vvd	24305
48615	hospital	nn1	17719
48561	trade	nn1	18050
48542	various	jj	28371
48541	forces	nn2	19140
48436	love	vv0	25746
48292	effort	nn1	30504
48234	guys	nn2	22653
48219	religious	jj	14536
48082	simple	jj	31730
48067	race	nn1	19343
48054	difference	nn1	28788
48022	sex	nn1	15167
48009	window	nn1	18844
47991	wall	nn1	20909
47961	author	nn1	28633
47910	indeed	rr	27575
47829	since	ii	33092
47807	ones	nn2	32243
47759	career	nn1	25182
47682	clearly	rr	29758
47606	stories	nn2	24553
47568	sat	vvd	19565
47550	called	vvd	28642
47540	analysis	nn1	17209
47467	so	cs21	29879
47434	levels	nn2	20606
47421	little	da1	33176
47365	stop	vvi	29802
47319	change	vvi	31578
47306	list	nn1	27320
47290	cultural	jj	15003
47250	test	nn1	19699
47213	quality	nn1	24230
47193	happen	vvi	29413
47184	heard	vvn	28734
47155	ability	nn1	27196
47096	james	np1	21968
47073	public	nn1	26276
47043	paul	np1	19278
46955	older	jjr	24760
46940	management	nn1	18526
46875	member	nn1	27268
46815	show	vvi	30847
46814	legal	jj	20867
46809	sound	nn1	21282
46783	well	rr22	31386
46721	green	jj	23089
46596	approach	nn1	23990
46535	need	nn1	28742
46528	size	nn1	26135
46509	enough	dd	32461
46300	move	vvi	30122
46291	told	vvn	28194
46286	science	nn1	16813
46273	jobs	nn2	21459
46201	movement	nn1	21413
46081	entire	jj	31573
45943	thinking	vvg	26999
45926	above	ii	27659
45890	meet	vvi	29598
45838	choice	nn1	27748
45835	moving	vvg	29137
45734	call	vvi	27598
45727	main	jj	28300
45698	order	nn1	24649
45689	chicago	np1	19328
45484	close	jj	30611
45463	traditional	jj	23098
45432	watching	vvg	26314
45432	onto	ii	24679
45382	final	jj	28776
45381	billion	m	15036
45285	all	rr22	29000
45280	boys	nn2	17004
45229	pressure	nn1	24449
45024	type	nn1	25573
44976	greater	jjr	25165
44959	unidentified	jj	8662
44905	nice	jj	24781
44891	activities	nn2	18872
44847	try	vv0	29258
44825	huge	jj	29599
44797	suddenly	rr	22506
44785	mrs	nnb	9851
44742	hard	rr	28744
44702	truth	nn1	22909
44689	stood	vvd	18760
44661	died	vvd	23391
44597	picture	nn1	24591
44480	cold	jj	23031
44468	dark	jj	21226
44467	commercial	jj	19197
44461	image	nn1	20158
44365	remember	vv0	25996
44363	deal	nn1	25524
44341	environment	nn1	21295
44224	individual	jj	22865
44195	specific	jj	22989
44181	resources	nn2	20079
44152	popular	jj	26558
44143	numbers	nn2	26361
44066	start	vvi	30538
44064	stay	vvi	28886
44042	tom	np1	16567
44032	become	vvn	31280
44004	particular	jj	25332
43995	ms	nnb	9076
43991	peace	nn1	17957
43788	top	jj	27585
43766	yourself	ppx1	24223
43764	giving	vvg	30986
43748	lost	vvn	28874
43604	article	nn1	21587
43516	politics	nn1	19136
43491	lower	jjr	24261
43484	radio	nn1	19545
43470	eye	nn1	24328
43392	needs	vvz	29205
43345	sitting	vvg	25318
43318	somebody	pn1	22278
43283	rather	ii21	26959
43226	events	nn2	23223
43173	piece	nn1	26021
43159	disease	nn1	14274
43158	sexual	jj	11111
43060	live	vvi	26979
43047	mean	vvi	27788
43041	smith	np1	14253
42855	points	nn2	21197
42815	work	vv0	29336
42756	keep	vv0	28480
42725	inside	ii	25056
42686	amount	nn1	27624
42654	brother	nn1	18017
42595	bill	nn1	15557
42584	used	vmk	28106
42575	color	nn1	19285
42531	star	nn1	19809
42446	necessary	jj	26418
42356	opportunity	nn1	27888
42324	live	vv0	27034
42279	put	vvd	26691
42243	efforts	nn2	24835
42222	middle	jj	20552
42188	stuff	nn1	24312
42076	help	nn1	27156
42075	republican	nn1	13670
41999	showed	vvd	26697
41954	beautiful	jj	22877
41925	bank	nn1	16376
41924	cost	nn1	21410
41905	heat	nn1	16273
41886	ahead	rl	24229
41848	organization	nn1	21845
41810	design	nn1	16425
41762	europe	np1	17684
41736	fish	nn	12359
41734	thanks	nn2	24519
41724	throughout	ii	27955
41661	section	nn1	22610
41644	lines	nn2	24819
41643	video	nn1	15059
41614	st	np1	17199
41395	effects	nn2	17673
41377	down	ii	23971
41353	positive	jj	20305
41243	box	nn1	20657
41167	ran	vvd	23952
41040	department	nn1	19712
41027	region	nn1	17481
41025	university	nn1	16542
40993	impact	nn1	22804
40981	instead	rr	29283
40971	break	nn1	18322
40901	sort	nn1	24540
40888	skills	nn2	16071
40847	past	nn1	25484
40829	total	jj	21651
40810	no	rr21	27541
40797	range	nn1	23502
40751	response	nn1	22658
40738	production	nn1	17096
40624	conditions	nn2	20509
40461	scene	nn1	20064
40437	guess	vv0	23841
40395	call	nn1	23435
